id,year,week,away,home,away_spread,home_spread,total_line,away_score,home_score,away_home_game_count,away_away_game_count,away_ppg,away_pass_comp_pg,away_pass_yd_pg,away_pass_td_pg,away_int_thrown_pg,away_sacks_taken_pg,away_rush_att_pg,away_rush_yds_pg,away_rush_td_pg,away_fgm_pg,away_fga_pg,away_pnt_pg,away_3d_conv_pg,away_3d_att_pg,away_4d_conv_pg,away_4d_att_pg,away_top,away_opp_ppg,away_opp_pass_comp_pg,away_opp_pass_yd_pg,away_opp_pass_td_pg,away_opp_int_thrown_pg,away_opp_sacks_taken_pg,away_opp_rush_att_pg,away_opp_rush_yds_pg,away_opp_rush_td_pg,away_opp_fgm_pg,away_opp_fga_pg,away_opp_pnt_pg,away_opp_3d_conv_pg,away_opp_3d_att_pg,away_opp_4d_conv_pg,away_opp_4d_att_pg,away_opp_top,home_home_game_count,home_away_game_count,home_ppg,home_pass_comp_pg,home_pass_yd_pg,home_pass_td_pg,home_int_thrown_pg,home_sacks_taken_pg,home_rush_att_pg,home_rush_yds_pg,home_rush_td_pg,home_fgm_pg,home_fga_pg,home_pnt_pg,home_3d_conv_pg,home_3d_att_pg,home_4d_conv_pg,home_4d_att_pg,home_top,home_opp_ppg,home_opp_pass_comp_pg,home_opp_pass_yd_pg,home_opp_pass_td_pg,home_opp_int_thrown_pg,home_opp_sacks_taken_pg,home_opp_rush_att_pg,home_opp_rush_yds_pg,home_opp_rush_td_pg,home_opp_fgm_pg,home_opp_fga_pg,home_opp_pnt_pg,home_opp_3d_conv_pg,home_opp_3d_att_pg,home_opp_4d_conv_pg,home_opp_4d_att_pg,home_opp_top
1,2024,9,lions,packers,-2.5,2.5,48.5,24,14,2,2,43.0,18.75,222.25,3.0,0.0,3.5,28.75,152.0,2.25,1.5,1.5,3.0,3.5,8.75,0.25,0.75,28.52,20.25,26.75,270.75,0.75,1.75,3.0,22.25,120.75,1.25,1.5,1.75,3.5,3.75,11.0,0.75,2.0,31.48,2,2,28.0,19.75,226.75,2.5,1.25,1.5,31.75,139.25,0.75,1.75,2.0,4.0,3.75,10.25,0.25,0.25,31.69,20.25,20.5,201.0,1.0,0.5,2.0,26.75,114.0,1.0,1.75,1.75,4.5,4.25,12.0,0.75,1.25,28.31
2,2024,9,rams,seahawks,-1.5,1.5,48.5,26,20,3,1,21.75,22.0,215.5,1.25,1.0,1.75,28.5,118.75,1.0,1.0,1.5,3.25,4.75,11.75,0.75,1.5,30.88,20.75,17.75,185.5,1.25,1.0,2.5,27.25,110.75,0.75,2.25,2.25,4.25,2.25,9.75,0.25,0.25,29.12,3,1,22.0,24.5,243.5,1.0,0.75,2.5,18.5,72.25,0.75,1.5,1.75,4.0,3.75,11.25,0.75,1.75,25.1,27.5,22.5,248.75,2.0,0.75,1.75,33.25,180.5,1.0,1.75,2.0,3.5,7.0,14.5,0.75,1.0,34.9
3,2024,9,colts,vikings,5.5,-5.5,46.5,13,21,1,3,22.5,19.0,201.5,1.5,0.5,2.25,27.75,124.25,0.75,2.25,2.25,5.5,5.0,13.75,1.0,1.0,28.62,21.75,21.0,220.5,1.25,0.5,1.0,30.0,139.0,1.0,2.0,2.25,4.75,4.25,12.25,0.5,1.0,31.38,2,2,25.75,18.75,220.25,1.5,0.75,3.25,26.75,101.25,0.75,2.25,2.25,3.75,3.5,10.25,0.0,0.5,30.05,26.75,27.0,280.75,3.0,1.75,2.0,23.0,93.25,0.5,0.5,1.0,4.0,4.25,12.25,0.25,1.25,29.95
4,2024,9,buccaneers,chiefs,9.0,-9.0,45.5,24,30,2,2,34.5,27.75,294.0,3.25,1.75,1.25,28.25,166.0,0.75,1.5,1.75,2.0,8.0,13.0,0.5,0.75,32.33,33.75,26.0,307.0,3.5,0.75,3.25,24.5,131.75,0.25,2.0,2.75,3.0,4.75,11.75,1.5,1.75,27.98,1,3,24.5,22.5,236.5,0.75,1.25,2.0,33.25,126.5,2.0,1.75,2.25,2.5,8.75,15.0,0.5,0.75,34.16,15.25,19.25,186.75,1.25,1.0,2.25,21.0,58.75,0.5,1.25,1.5,4.0,4.0,11.75,0.5,1.5,25.84
5,2024,10,bengals,ravens,6.0,-6.0,52.5,34,35,2,2,24.0,21.75,203.0,2.0,0.5,2.25,24.0,92.0,0.75,1.0,1.5,4.25,6.0,13.0,0.25,0.75,28.71,20.5,22.5,210.5,0.75,0.75,2.75,28.0,104.25,1.5,1.0,1.75,4.25,6.0,14.5,1.25,2.25,31.29,2,2,34.0,19.0,276.0,2.75,0.25,2.0,30.5,167.75,1.25,2.0,2.25,2.25,3.5,9.0,0.25,0.75,30.45,23.25,25.5,281.75,2.25,0.75,3.0,25.25,94.75,0.25,2.0,2.5,2.5,7.25,14.5,0.75,1.75,29.55
6,2024,10,patriots,bears,6.0,-6.0,39.5,19,3,2,2,19.75,23.25,196.75,1.5,1.0,3.0,23.0,85.5,1.0,0.75,1.0,4.75,4.75,12.75,1.0,1.25,28.89,28.75,18.0,206.5,2.0,0.5,1.0,33.5,160.5,1.25,1.5,2.0,3.75,5.25,11.75,0.0,0.5,33.08,2,2,23.75,18.75,198.5,1.5,0.25,3.25,31.0,137.75,1.5,1.0,1.25,4.25,3.5,12.0,0.75,1.75,30.8,18.25,20.0,208.0,0.75,0.5,3.25,26.25,142.25,1.0,2.0,2.5,4.25,5.0,13.75,0.75,1.5,29.2
7,2024,10,bills,colts,-4.0,4.0,46.5,30,20,2,2,29.5,22.25,259.25,2.25,0.5,1.25,26.5,120.25,1.25,1.75,2.0,3.0,5.25,11.5,0.5,0.5,30.74,16.75,23.5,224.25,1.25,0.75,2.0,23.25,97.75,0.5,1.5,2.0,3.0,3.75,10.75,0.5,1.0,29.26,1,3,17.25,14.5,154.25,0.75,0.75,2.0,27.5,116.5,0.5,2.25,2.5,5.25,4.0,13.0,1.0,1.25,26.51,17.75,21.25,198.25,1.5,0.75,2.0,32.25,140.75,0.5,1.25,2.0,4.75,5.0,12.75,0.5,0.75,33.49
8,2024,10,broncos,chiefs,8.0,-8.0,41.5,14,16,2,2,21.75,21.25,216.25,1.5,0.5,2.0,28.75,139.75,0.75,1.5,1.5,3.25,6.0,13.25,1.0,2.25,29.3,22.0,22.25,220.0,1.75,0.5,3.0,28.25,105.25,0.75,1.5,1.5,4.25,6.0,14.25,1.0,2.0,30.7,2,2,27.75,26.25,244.5,1.25,1.0,2.25,35.5,132.25,2.0,1.75,2.0,2.5,9.5,15.5,0.75,1.0,37.05,18.75,21.0,191.75,1.5,1.0,2.25,19.75,68.75,0.75,1.25,1.25,3.75,4.25,11.25,0.5,1.25,24.42
9,2024,10,falcons,saints,-3.5,3.5,46.5,17,20,2,2,27.5,21.5,228.5,2.25,0.5,1.75,32.25,145.5,1.25,1.0,1.5,3.0,6.0,12.75,1.5,1.5,29.64,25.25,28.25,257.0,2.25,1.0,1.0,23.25,114.0,0.25,1.75,1.75,2.75,5.25,12.25,0.75,2.25,30.36,2,2,16.75,22.5,218.75,0.75,0.5,4.25,26.0,123.0,0.5,2.0,2.25,6.25,4.0,15.25,1.75,2.25,28.97,33.25,19.0,225.75,1.75,1.0,1.25,30.5,176.0,1.75,2.0,2.0,4.25,4.25,10.75,0.0,0.25,31.03
10,2024,10,49ers,buccaneers,-5.5,5.5,51.5,23,20,3,1,26.75,18.0,235.25,1.25,1.25,1.25,29.75,176.25,1.25,2.75,2.75,3.25,5.25,12.5,0.25,0.75,31.04,25.0,22.5,219.0,1.0,1.75,1.5,26.0,115.25,1.75,1.25,1.5,3.25,5.5,13.0,1.25,2.0,28.96,2,2,33.0,28.75,298.0,3.0,1.75,1.5,26.5,149.75,1.0,1.0,1.25,2.75,7.75,13.0,0.5,0.75,31.71,32.25,24.0,252.75,3.25,0.5,3.25,28.75,144.5,0.5,1.5,1.75,3.75,6.25,12.75,1.25,1.25,29.75
